name,pop2020,state,new_tests_per_million_per_day,GDP.millions.2019,GDP.millions.2020.counterfactual,total.income.millions.2019,personal.income2019,pop.2019.bea,total.income.millions.2020,personal.income2020,pop.2020.bea,PCE.millions.2019,PCE2019,GDP.millions.2019.2,GDP.millions.2020.2,total.income.millions.2019.2,total.income.millions.2020.2,PCE.millions.2019.2,PCE.millions.2020.2,personal.income2019.2,personal.income2020.2,PCE2019.2,PCE2020.2,employment2019,employment2020,GDP.percap.2019,GDP.percap.2019.2,GDP.percap.2020.counterfactual,GDP.percap.2020.2,us.median.income.2019,us.median.income.2020,us.personal.income.2019,us.personal.income.2020,median.income.2019.est,median.income.2020.est,median.income.2020.counterfactual,personal.income2020.counterfactual,daily.discount,weekly.discount,employment2019.rate,cost.fear,vsl.low,vsl.mid,vsl.high,cost.productivity,cost.medical,cost.learning.high,cost.learning.low,time.learning,cost.schools.direct,cost.work,cost.social,cost.mask,cost.test,cost.trace
Georgia,10711937,GA,12.087269650928445,646939,673463.499,522393,49083,10642947,557601.2,51987,10725800,404263.7,37984.188026117205,637992.5,625425.7,522393,557601.2,415665.1,410296,49083,51967,39055,38253,6399395,6326942,60785.70155427815,59945.09791320017,62789.11587014489,58310.40108896306,35980,35860,56250,59763,31395.668266666667,31182.113013068287,32682.8906656,51095.403,0.9998884707156994,0.9992152697058329,0.6012803596597822,1854.7093965150605,4470000,8310000.000000001,10630000,628.5171281846153,3045,2499.4898048307673,326.0204093257523,36,31.394557935072445,25.140685127384618,25.140685127384618,2.24,0.008461088755649911,0.0031387999999999997
Hawaii,1455273,HI,12.851177677990115,93356.2,97183.80419999998,79699.7,54700,1457034,83109.5,57241,1451911,69993.4,48038.27501623161,91912.7,82535.5,79699.7,83109.5,66957.1,64031.5,54700,57276,45954,44102,914163,817748,64072.76700475075,63082.05573788944,66935.09739922074,56846.11522331603,35980,35860,56250,59763,34988.55111111111,34367.708448371064,36423.081706666664,56942.7,0.9998884707156994,0.9992152697058329,0.6274136361951745,2066.960128544991,4470000,8310000.000000001,10630000,700.4438789743589,3045,2664.5317618535946,347.5476211113385,36,33.467548699610376,28.017755158974357,28.017755158974357,2.24,0.008995824374593082,0.0031387999999999997
Idaho,1839092,ID,7.021451526474525,84550.2,88016.7582,83031.5,45924,1808039,91448.5,49491,1847772,66448.4,36751.64086615388,82847.2,85927.8,83031.5,91448.5,63939.8,65101,45924,49453,35364,35232,1064118,1078122,46763.482424881324,45821.577963749674,47633.99283028425,46503.464713178895,35980,35860,56250,59763,29375.031466666667,29673.620467513345,30579.4077568,47806.884,0.9998884707156994,0.9992152697058329,0.5885481452557163,1735.3396150511915,4470000,8310000.000000001,10630000,588.0655337846154,3045,1896.199329974777,247.33034738801442,36,23.81699641514213,23.522621351384615,23.522621351384615,2.24,0.004915016068532168,0.0031387999999999997
Illinois,12812545,IL,24.039971502175106,895800,932527.7999999999,750935.6,58438,12850150,794459.5,62139,12785245,585415.2,45557.07131823364,889540.1,856942.9,750935.6,794459.5,573085.1,556286.1,58438,62132,44598,43510,7859703,7519502,69711.24850682677,69224.10244238394,72937.81229847374,67025.92715274522,35980,35860,56250,59763,37379.542044444446,37281.48720780416,38912.10326826666,60833.958,0.9998884707156994,0.9992152697058329,0.6116428991101271,2208.2087018631114,4470000,8310000.000000001,10630000,748.3096782358973,3045,2903.485989573858,378.7155638574598,36,36.46890614923687,29.932387129435895,29.932387129435895,2.24,0.016827980051522577,0.0031387999999999997
Indiana,6785668,IN,17.682056209313505,385446.2,401249.49419999996,329625,48749,6761742,354337.7,52219,6785644,263533,38974.128264580344,381132.3,373781.6,329625,354337.7,259729.3,258617.9,48749,52194,38412,38113,3970076,3843507,57003.9791521179,56365.99266875311,59132.116892663384,55084.17476661022,35980,35860,56250,59763,31182.02702222222,31318.321369409165,32460.49013013333,50747.708999999995,0.9998884707156994,0.9992152697058329,0.5871380481538633,1842.088469953195,4470000,8310000.000000001,10630000,624.2401948102563,3045,2353.913114765638,307.03214540421374,36,29.56605844633169,24.969607792410255,24.969607792410255,2.24,0.012377439346519454,0.0031387999999999997
Iowa,3190372,IA,9.22453441030533,196085.1,204124.58909999998,160360.6,50367,3183831,169994.2,53312,3188669,124069.7,38968.68269704014,195708.7,196982.9,160360.6,169994.2,121665.5,119315.3,50367,53280,38214,37419,2071092,2010409,61587.785281316756,61469.56292592164,64015.60936553778,61775.90085392996,35980,35860,56250,59763,32216.971733333332,31969.96134732192,33537.8675744,52432.047,0.9998884707156994,0.9992152697058329,0.6505031202975283,1903.2281680882186,4470000,8310000.000000001,10630000,644.9589918153846,3045,2548.3136805127533,332.38874093644614,36,32.00780468276889,25.798359672615387,25.798359672615387,2.24,0.006457174087213731,0.0031387999999999997
Kansas,2937847,KS,7.813132843926829,176917.7,184171.3257,155125.9,52876,2933747,164333.6,55974,2935880,113323.2,38627.461740906765,176564.4,177580.9,155125.9,164333.6,114529,113475.7,52876,55935,39038,38651,1924539,1879086,60304.347989107446,60183.92179012028,62731.21711377849,60486.42996307751,35980,35860,56250,59763,33821.839644444444,33563.05908337935,35208.535069866666,55043.916,0.9998884707156994,0.9992152697058329,0.656000329953469,1998.0362661233082,4470000,8310000.000000001,10630000,677.0872128820513,3045,2497.184988952336,325.71978116769606,36,31.365608556889246,27.083488515282053,27.083488515282053,2.24,0.00546919299074878,0.0031387999999999997
Kentucky,4505893,KY,16.65699201878091,220683.3,229731.31529999996,197356,43875,4498141,214052.5,47525,4503958,162389.8,36101.536167941376,218494.7,216865.6,197356,214052.5,164781.9,164142.1,43875,47489,36633,36444,2550230,2472056,49061.000977959564,48574.44442048393,51006.54031409706,48150.0049512007,35980,35860,56250,59763,28064.4,28495.148168599302,29215.040399999998,45673.875,0.9998884707156994,0.9992152697058329,0.5669519919451169,1657.9136314426228,4470000,8310000.000000001,10630000,561.8276999999999,3045,2030.452662503479,264.8416516308886,36,25.50327015704853,22.473108,22.473108,2.24,0.011659894413146637,0.0031387999999999997
Louisiana,4657749,LA,20.617073560373804,257096.7,267637.66469999996,222349.1,47668,4664558,236324.2,50809,4651203,173167,37123.98902532673,255481.9,232527.8,222349.1,236324.2,176015.7,173900,47668,50804,37735,37388,2717896,2593066,55117.05503501082,54770.87003741834,57541.60046336399,49993.04481012762,35980,35860,56250,59763,30490.57137777778,30484.270200625804,31740.684804266664,49622.388,0.9998884707156994,0.9992152697058329,0.5826695691210185,1801.2405010508708,4470000,8310000.000000001,10630000,610.3977846974359,3045,2290.5983261377587,298.7736947136207,36,28.770800231681996,24.415911387897435,24.415911387897435,2.24,0.014431951492261662,0.0031387999999999997
Maine,1362341,ME,17.84614253775724,69298.2,72139.42619999999,68863,50728,1357487,74805.9,54912,1362280,63649.5,46887.74183472843,68690.4,70740,68863,74805.9,62018.3,61370.5,50728,54861,45686,45050,842473,813207,51048.88665600481,50601.147561634105,52954.91837214081,51927.650703232815,35980,35860,56250,59763,32447.883377777776,32918.619547211485,33778.24659626666,52807.848,0.9998884707156994,0.9992152697058329,0.6206122047577619,1916.8693491925098,4470000,8310000.000000001,10630000,649.5816653128204,3045,2108.0130967371438,274.9582300091927,36,26.477459186070405,25.983266612512814,25.983266612512814,2.24,0.012492299776430068,0.0031387999999999997
